Time,Temperature,Humidity,Pressure,Altitude, PM1,PM2,PM3
1630652128.159893,24.42734375,36.93290145699381,1004.0153147287294,77.40104246193174,0,1,2
1630652129.328829,24.4376953125,37.032847750779766,1003.9981680260245,77.33391863385633,0,1,2
1630652130.49701,24.4427734375,37.02785050543423,1003.9854803958506,77.22904633434163,0,1,2
1630652131.6658485,24.432421875,36.84798564674156,1004.008684874768,77.36172484663058,0,1,2
1630652132.833998,24.422265625,36.91291184786812,1004.0064552072461,77.4475362878528,0,1,2
1630652134.0024755,24.4068359375,36.95280356493235,1004.0171547094478,77.41577602241142,0,1,2
1630652135.1706789,24.4068359375,36.9028319097796,1004.0085811724143,77.02650631829107,0,1,2
1630652136.34054,24.4017578125,36.832911713211836,1003.9881194620085,77.13772480005065,0,1,2
1630652137.5093641,24.3916015625,36.912783877760724,1004.0364700929332,76.93399191886625,0,1,2
1630652138.6780207,24.3916015625,37.002752261261584,1004.0397848606658,76.95699534961877,0,1,2
1630652139.8469183,24.4068359375,37.017765625479306,1004.0116093450034,77.05431083120713,0,1,2
1630652141.015708,24.412109375,37.087746573971316,1004.0204695289092,77.32719820879954,0,1,2
1630652142.1852531,24.4068359375,36.97279202263061,1003.9922935735527,77.32480312849485,0,1,2
1630652143.3552856,24.412109375,36.95280356493235,1004.0138398903022,77.14406756629354,0,1,2
1630652144.523548,24.412109375,36.87284856635164,1004.0171547094478,77.29939275903861,0,1,2
1630652145.6916938,24.4017578125,36.95280356493235,1003.991720759448,77.26524432590773,0,1,2
1630652146.8622465,24.4017578125,36.94280929229119,1004.0049798152219,77.53178995529409,0,1,2
1630652148.0306842,24.4068359375,36.95280356493235,1004.0099519624397,77.36495926297708,0,1,2
1630652149.1989558,24.3916015625,37.03271154631063,1004.0066371975488,77.1186590829689,0,1,2
1630652150.368772,24.3865234375,36.97272633142622,1003.9924751393486,77.15642452665446,0,1,2
1630652151.5377653,24.3916015625,36.982675261264596,1003.9891604307211,77.4785768862282,0,1,2
1630652152.7073603,24.37109375,36.93268542790352,1003.996873457245,77.439268152234,0,1,2
1630652153.876788,24.38125,37.00259554838872,1003.9805869731168,77.47223791847092,0,1,2
1630652155.0448296,24.37109375,36.97261582119104,1003.9736708755286,77.5695540874913,0,1,2
1630652156.2132215,24.38125,37.12255913318374,1004.0104191137226,77.40272690679842,0,1,2
1630652157.3820603,24.37109375,37.0526525649674,1003.9888736762754,77.04520764931303,0,1,2
1630652158.5503235,24.3865234375,36.942700636116186,1003.9808736605341,77.39516230305347,0,1,2
1630652159.718584,24.3916015625,36.912698109080246,1004.0057339770153,77.17272656868396,0,1,2
1630652160.8869696,24.37109375,36.95267262996407,1003.9852721644529,77.52784705038361,0,1,2
1630652162.0632837,24.37109375,36.98263115796313,1003.9780689945713,77.35585454707841,0,1,2
1630652163.2324061,24.3865234375,36.97265971526189,1003.9601255324294,77.30024583538828,0,1,2
1630652164.4014053,24.37109375,36.94267904352913,1003.9885868191417,77.38365901044854,0,1,2
1630652165.5702825,24.37109375,36.94767584039543,1004.0035027691484,77.06908028703518,0,1,2
1630652166.7391918,24.3609375,36.992624513998834,1003.9681251951617,77.39122556961165,0,1,2
1630652167.9080126,24.37109375,36.852735452034075,1004.0018454410542,77.33321634314088,0,1,2
1630652169.0768473,24.366015625,36.93268542790352,1003.9924751393486,77.18902927219871,0,1,2
1630652170.2465742,24.376171875,36.98269729938256,1003.9808736605341,77.51788729903082,0,1,2
1630652171.4148462,24.3865234375,36.89774969672018,1003.9908177849953,77.38365901044854,0,1,2
1630652172.58324,24.38125,36.97265971526189,1004.0113226230372,77.25134190091626,0,1,2
1630652173.7529416,24.37109375,36.992646683797,1003.9974472028816,77.52784705038361,0,1,2
1630652174.9211252,24.3916015625,36.912783877760724,1003.9908177849953,77.27914676882375,0,1,2
1630652176.0893998,24.3916015625,36.87284856635164,1003.9908177849953,77.32085420509932,0,1,2
1630652177.2594244,24.3916015625,36.862792119110765,1003.9848047259818,77.25613943145275,0,1,2
1630652178.4285922,24.3916015625,36.832809448159864,1004.0156781085809,77.15162719091563,0,1,2
1630652179.5974305,24.3916015625,36.88280130377257,1004.010706042443,77.19813115134035,0,1,2
1630652180.7664285,24.3916015625,37.012678302642406,1004.0198962590065,77.15642452665446,0,1,2
1630652181.935311,24.3916015625,37.00273002328356,1004.0185255489424,77.39276419914742,0,1,2
1630652183.1042237,24.38125,36.95276023437118,1003.9908177849953,77.29544723617644,0,1,2
1630652184.2739027,24.3865234375,36.9027897156247,1003.9692721855877,77.23983793731752,0,1,2
1630652185.4429924,24.3916015625,36.99269099632785,1004.0099519624397,77.25374023514914,0,1,2
1630652186.6135905,24.3916015625,37.082632955195045,1003.9825310144137,77.12382242711021,0,1,2
1630652187.7824097,24.3916015625,36.97277013458436,1004.0118959642746,77.35105682177378,0,1,2
1630652188.9514413,24.4017578125,37.03766227133055,1004.0033224329738,77.34626254475698,0,1,2
